annex2_code,field_name,canonical_field,priority,xsd_requirement,applicability,projected,delivered,has_field_rule,delivery_sample_value,xml_leaf_element,xml_first_record_value,population_mechanism,xsd_status
RREC1,Unique Identifier,collateral_unique_identifier,Mandatory,no ND,in scope,True,True,False,SYNTHETICDEMO0000000N202601,,,projector via registry regime_mapping (no direct rule),document XSD PASSED
RREC10,Energy Performance Certificate Value,energy_performance_certificate_value,Optional,ND1-4 allowed; ND5 allowed,in scope,True,True,True,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/Coll/CollCmonData/Dtls/NrgyPrfrmncCertVal,ND5,projector via registry mapping + rule enum transform; permitted no-data value in output,document XSD PASSED
RREC11,Energy Performance Certificate Provider Name,energy_performance_certificate_provider_name,Optional,ND1-4 allowed; ND5 allowed,in scope,True,True,True,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/Coll/CollCmonData/Dtls/NrgyPrfrmncCertPrvdrNm,ND5,projector via registry mapping + rule (validation/format); permitted no-data value in output,document XSD PASSED
RREC12,Current Loan-To-Value,current_loan_to_value,Analytics,ND1-4 allowed; ND5 allowed,in scope,True,True,True,29.8116,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/Coll/CollCmonData/Valtn/CurInf/LnToVal,29.8116,projector via registry mapping + rule (validation/format),document XSD PASSED
RREC13,Current Valuation Amount,current_valuation_amount,Analytics,ND1-4 allowed; ND5 allowed,in scope,True,True,False,308227.27,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/Coll/CollCmonData/Valtn/CurInf/ValtnAmt,308227.27,projector via registry regime_mapping (no direct rule),document XSD PASSED
RREC14,Current Valuation Method,current_valuation_method,Analytics,ND1-4 allowed,in scope,True,True,True,FOEI,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/Coll/CollCmonData/Valtn/CurInf/ValtnMtd,FOEI,projector via registry mapping + rule enum transform,document XSD PASSED
RREC15,Current Valuation Date,current_valuation_date,Optional,ND1-4 allowed; ND5 allowed,in scope,True,True,True,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/Coll/CollCmonData/Valtn/CurInf/ValtnDt,ND5,projector via registry mapping + rule (validation/format); permitted no-data value in output,document XSD PASSED
RREC16,Original Loan-To-Value,original_loan_to_value,Analytics,ND1-4 allowed; ND5 allowed,in scope,True,True,True,19.3662,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/Coll/CollCmonData/Valtn/InfAtOrgtn/LnToVal,19.3662,projector via registry mapping + rule (validation/format),document XSD PASSED
RREC17,Original Valuation Amount,original_valuation_amount,Analytics,ND1-4 allowed,in scope,True,True,True,284000.0,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/Coll/CollCmonData/Valtn/InfAtOrgtn/ValtnAmt,284000.00,projector via registry mapping + rule (validation/format),document XSD PASSED
RREC18,Original Valuation Method,original_valuation_method,Analytics,ND1-4 allowed,in scope,True,True,True,ND1,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/Coll/CollCmonData/Valtn/InfAtOrgtn/ValtnMtd,ND1,projector via registry mapping + rule enum transform; permitted no-data value in output,document XSD PASSED
RREC19,Original Valuation Date,original_valuation_date,Analytics,ND1-4 allowed,in scope,True,True,True,ND1,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/Coll/CollCmonData/Valtn/InfAtOrgtn/ValtnDt,ND1,projector via registry mapping + rule (validation/format); permitted no-data value in output,document XSD PASSED
RREC2,Underlying Exposure Identifier,underlying_exposure_identifier,Mandatory,no ND,in scope,True,True,False,EXP-000001,,,projector via registry regime_mapping (no direct rule),document XSD PASSED
RREC20,Date Of Sale,date_of_sale,Optional,ND1-4 allowed; ND5 allowed,in scope,True,True,True,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/Coll/CollCmonData/Nfrcmnt/SaleDt,ND5,projector via registry mapping + rule (validation/format); permitted no-data value in output,document XSD PASSED
